text,translation,target
Only problem is that TIFF files can't be larger than 4GB ,"Das einzige Problem ist, dass TIFF-Dateien nicht größer als 4GB sein können.",0
@erockett89 i wish i was home in bed naked ,"@erockett89 Ich wünschte, ich wäre zu Hause im Bett nackt.",0
"My day so far, laundry, trip into town, back home.  Now am going to have a well deserved break before lunch then a visit to the library ","Mein Tag bisher, Wäsche, Ausflug in die Stadt, zurück nach Hause. Jetzt werde ich eine wohlverdiente Pause machen, bevor ich zu Mittag esse und dann die Bibliothek besuche.",4
"@hellonhairylegs Trueblood and Dexter should be back within weeks! Best. Shows. Ok, maybe not Ever but Currently at any rate. ","@hellonhairylegs Trueblood und Dexter sollten innerhalb von Wochen zurück sein! Beste. Shows. Ok, vielleicht nicht aller Zeiten, aber derzeit auf jeden Fall.",4
@savvygrl Eww.. That looks gross... I am guilty of still eating fish... ,"@savvygrl Igitt... Das sieht eklig aus... Ich bin schuldig, immer noch Fisch zu essen...",0
"Let me rephrase the last 3 jokes from dane were funny, in nfl blitz if you do somethin bad ass 3 times in a row you are on fire ","Lassen Sie mich die letzten 3 Witze von Dane umformulieren, waren lustig, in NFL Blitz, wenn du 3 Mal hintereinander etwas Böses machst, bist du in Flammen.",4
"So according to Mr. Tagg, if I do this Peer Tutoring, he'll let me be an Environment Prefect next year. Yay for extra cred ","Laut Herrn Tagg, wenn ich dieses Peer-Tutoring mache, wird er mich im nächsten Jahr zum Umweltpräfekten machen. Yay für Extra-Credits.",4
Lakers lead by six in overtime yay! ,"Die Lakers führen mit sechs in der Verlängerung, yay!",4
@JefferyPatch LOL definantly not hot haha. And I would for sure cry if u kicked my unhealed boobs ,"@JefferyPatch LOL definitiv nicht heiß haha. Und ich würde auf jeden Fall weinen, wenn du meine unverheilten Brüste trittst.",0
@lindseliz tweet tweet! why can't i write on your wall? ,@lindseliz zwitscher zwitscher! Warum kann ich nicht auf deine Pinnwand schreiben?,0
@Liinduhhh are you serious biff ? ,"@Liinduhhh meinst du das ernst, Biff?",0
@NuGoth lol So am I - kinda  What is it you do actually?,@NuGoth lol Ich auch - irgendwie. Was machst du eigentlich?,4
@YourMyTwilight have fun! ,@YourMyTwilight Viel Spaß!,4
@ElizaPatricia The glasses make you look coquettish. ,@ElizaPatricia Die Brille lässt dich kokett aussehen.,4
"@qclindalou Haha, that only helps if anything.  Thanks.","@qclindalou Haha, das hilft nur, wenn überhaupt. Danke.",4
Went to a bbq at Janet's.   Out of the nuggets loop but think they lost due to facebook comments. ,"War auf einem Grillfest bei Janet. Bin nicht auf dem neuesten Stand, aber ich denke, sie haben wegen Facebook-Kommentaren verloren.",0
What's your fav milkshake place in #flagstaff ? #flg needing a creamy delightful pick me up ,"Was ist dein Lieblingsmilchshake-Ort in #flagstaff? #flg braucht eine cremige, erfreuliche Aufmunterung.",4
"Watched the New Moon trailer just then, now just have to wait for the next one ","Habe gerade den New Moon Trailer gesehen, jetzt muss ich nur auf den nächsten warten.",4
wants to go to Disneyland! ,Möchte nach Disneyland gehen!,0
@KatyLinda oh no  i thought both would be cool - guess i'm not cool w/ the 4yr olds lol,"@KatyLinda oh nein, ich dachte, beides wäre cool - glaube, ich bin nicht cool mit den 4-Jährigen, lol.",0
@trvsbrkr http://twitpic.com/4hvhs - She's cute ,@trvsbrkr http://twitpic.com/4hvhs - Sie ist süß.,4
@Tharomas 24 ,@Tharomas 24.,0
@GirlswithGoals I'm sorry to hear about the death of your beloved canine ,"@GirlswithGoals Es tut mir leid, vom Tod deines geliebten Hundes zu hören.",0
still hav my cough! now it mite be bronchitis!  bec everytime i cough my chest hurts! so dont lik doctors...,"Habe immer noch meinen Husten! Jetzt könnte es Bronchitis sein! Denn jedes Mal, wenn ich huste, tut meine Brust weh! Mag also keine Ärzte...",0
Splish splash  welcome summer,"Platsch platsch, willkommen Sommer.",4
"Okay, apparently I DIDN'T miss the deadline for JB m&amp;g's, but it would be kinda lame to win, I would feel really bad about it. ","Okay, anscheinend habe ich die Frist für JB m&g's NICHT verpasst, aber es wäre irgendwie doof zu gewinnen, ich würde mich wirklich schlecht dabei fühlen.",0
@stacey_baby good morning girlie  How are you? xo,"@stacey_baby Guten Morgen, Mädel. Wie geht es dir? xo",4
@Lemonpi is it the one on your blog? next will be mushrooms ,@Lemonpi Ist es der auf deinem Blog? Als nächstes kommen Pilze.,4
Who is going to the Online Fashion 100 party tonight in London? I am invited but nobody to go with ,"Wer geht heute Abend zur Online Fashion 100 Party in London? Ich bin eingeladen, aber niemanden, mit dem ich hingehen könnte.",0
lol @QueenLizII - maybe the Queen does tweet! ,lol @QueenLizII - vielleicht tweetet die Königin ja doch!,4
"ohhh! and and and, haha, lol. Swag? igotmyswagback?? HAhaa. Honestly I feel flattered. ","Ohhh! Und und und, haha, lol. Swag? igotmyswagback?? HAhaa. Ehrlich gesagt fühle ich mich geschmeichelt.",4
@wimjimjam yes yes yes... stupid people  UNLESS it's my twitter use? ROFL...but I use wi-fi at home :/,"@wimjimjam ja ja ja... dumme Leute, es sei denn, es betrifft meinen Twitter-Account? ROFL... aber ich benutze Wi-Fi zu Hause :/",0
soooooo i finally joined twitter... what do you know. and terminator was freaking awesome!!!!! christian totally made that movie ,"Soooooo, ich bin endlich bei Twitter beigetreten... was weißt du. Und Terminator war unglaublich toll!!!!! Christian hat diesen Film total gerettet",4
"it's not my job to know anybody, anybody says so, I would immediately keep distance with them......... ","Es ist nicht meine Aufgabe, irgendjemanden zu kennen, wenn jemand das sagt, würde ich sofort Abstand halten...",4
"Been working hard. London had glorious weather, came back to Kent and it was raining ","Habe hart gearbeitet. London hatte herrliches Wetter, kam zurück nach Kent und es regnete",0
yay! I'm leaving for Dallas! @cutekiwi you are still invited! ,Juhu! Ich fahre nach Dallas! @cutekiwi du bist immer noch eingeladen!,4
@BBManik naw  are you!?,@BBManik nein du bist!?,0
R.I.P. Sidekick. You've been through quite a lot with me ,R.I.P. Sidekick. Du hast so viel mit mir durchgemacht,0
embarrassed. reality check ,Peinlich. Realitätscheck,0
I don't feed into bullshit.... Sorry  awwwwww what a cock succer !!!!!!!,"Ich lasse mich nicht auf Schwachsinn ein... Entschuldigung, was für ein Schwanzlutscher!!!!!!",0
@savagestar That would be cute ,@savagestar Das wäre niedlich,4
eaten way too much junk food. feel as if i'm about to explode! not good ,"Habe viel zu viel Junk-Food gegessen. Fühle mich, als würde ich gleich platzen! Nicht gut",0
gonna watch 'the outsiders' ,Werde 'Die Outsider' anschauen,4
Aplusk..are u tlking to me?? ,Aplusk... redest du mit mir??,4
On the phone with my baby. I miss him so much. ,Am Telefon mit meinem Schatz. Ich vermisse ihn so sehr,0
@jendavis I understand! I've put 70k on the car I've had for just 3 years ,"@jendavis Ich verstehe! Ich habe 70k auf das Auto gesetzt, das ich erst seit 3 Jahren habe",0
Fuddruckers with @gcmilatzo ,Fuddruckers mit @gcmilatzo,4
@DonnieWahlberg hope ya hit the Waffle House up in VA Beach too!  ,@DonnieWahlberg Hoffentlich besuchst du auch das Waffle House in VA Beach!,4
watching lost and then i got to v=cover 150 pages ,Schau Lost und dann muss ich 150 Seiten abdecken,0
...I personally had my fill of the Sister Mary Margaret(s) something or other. 12 yrs of catholic school...so done. ,...Ich persönlich hatte genug von den Schwester Maria Margareta(s) irgendwas. 12 Jahre katholische Schule... bin fertig damit.,4
So upset that spring break is like over ,"So traurig, dass die Frühlingsferien fast vorbei sind",0
"Up was amazing! I love Doug the dog, must get a stuffed one at WDW, I hope to one day see my name in the credits for a Disney movie ","Oben war fantastisch! Ich liebe Doug den Hund, muss einen Stofftier davon im WDW bekommen, ich hoffe, eines Tages meinen Namen im Abspann eines Disney-Films zu sehen",4
"Soooo, song of my night - beep  by bobby v.  I miss my mommy.  . But i will be w/ her in the a.m . Jimboy's was on hit tonight !","Soooo, Lied meiner Nacht - beep von Bobby V. Ich vermisse meine Mama. Aber ich werde morgen früh bei ihr sein. Jimboy's war heute Abend ein Hit!",0
@mkeguy69 thank you  have a great weekend,"@mkeguy69 danke, schönes Wochenende",4
@Fernwise  also with runes keep it simple as possible,@Fernwise auch bei Runen so einfach wie möglich halten,4
Had a great time last night skyy vodka does the body good... until the next morning.  hehe,"Hatte gestern Abend eine tolle Zeit, Skyy Vodka tut dem Körper gut... bis zum nächsten Morgen. hehe",4
@KrsytalNichole....What???? He better stop it!  Its amazing how u meet someone out the blue and click with them instantly! ,"@KrsytalNichole....Was???? Er sollte besser aufhören! Es ist erstaunlich, wie man jemanden aus dem Nichts trifft und sofort mit ihm harmoniert!",4
@Cause4Conceit And I luv it!! But I'm very hurt that only Sam Goody had the album in my city and they sold out!! ,"@Cause4Conceit Und ich liebe es!! Aber ich bin sehr verletzt, dass nur Sam Goody das Album in meiner Stadt hatte und sie ausverkauft waren!!",0
"oh man I read all of your tweets of Jon and Kate, you guys were right, this is tragic sad.  oh man","Oh Mann, ich habe alle deine Tweets über Jon und Kate gelesen, ihr hattet recht, das ist tragisch traurig. Oh Mann",0
@caldjr aw hope you feel better soon ,"@caldjr oh, hoffe, es geht dir bald besser",0
Super annoyed. I wrote a blog that took me 2 hours to write. And its gone now and i didn't get to save it. ,"Total genervt. Ich habe einen Blog geschrieben, für den ich 2 Stunden gebraucht habe. Und jetzt ist er weg und ich habe ihn nicht gespeichert.",0
"U know 1st date awkwardness? Twitter is just like that. But the more you hang out 2gether, more comfortable u become ","Du kennst dieses peinliche Gefühl beim ersten Date? Twitter ist genauso. Aber je mehr Zeit ihr zusammen verbringt, desto wohler fühlt ihr euch",4
@fudosan - I'm still keen to look more at Android. I have been flat out getting my new laptop sorted out. ,"@fudosan - Ich bin immer noch daran interessiert, mehr über Android zu erfahren. Ich war damit beschäftigt, meinen neuen Laptop einzurichten.",4
@eastyyy wow congrats! ,"@eastyyy wow, Glückwunsch!",4
"@pjraval They searched my person, too. One grabbed my stomach under my sweater. That's what I get for wearing a sweater in snowy weather. ","@pjraval Sie haben auch meine Person durchsucht. Einer hat meinen Bauch unter meinem Pullover angefasst. Das bekomme ich, weil ich einen Pullover bei Schneewetter trage.",0
Mmmm slim fast and a fruit cup... Yummy breakfast ,Mmmm Slim Fast und ein Obstbecher... Leckeres Frühstück,4
i miss my baby in japan ,Ich vermisse mein Baby in Japan,0
"Eating PIJAHAT with @aileentanaga ,boya, jenni and erin ","PIJAHAT mit @aileentanaga, boya, jenni und erin essen",4
@YellowHail  your picture is so small,@YellowHail dein Bild ist so klein,0
@jonathanrknight ......... ,@jonathanrknight .........,4
@suzanne_young it's nice isn't it... *pets shelf of pretty books* its just missing urs!!  lol,"@suzanne_young es ist schön, oder... *streichelt Regal mit hübschen Büchern* es fehlt nur deins!! lol",4
"Writing an impossible research paper that is taking about 5 hours, more like 7. Dreading the other 2 essays I have to do nexttt ","Schreibe gerade eine unmögliche Forschungsarbeit, die etwa 5 Stunden dauert, eher 7. Fürchte die anderen 2 Aufsätze, die ich als nächstes machen muss.",0
@SuperKaylo where is the monkey island interview I can not find it  http://myloc.me/5zQG,@SuperKaylo wo ist das Affeninsel-Interview? Ich kann es nicht finden. http://myloc.me/5zQG,0
it's night already??? That was quick! ,Ist es schon Nacht? Das ging schnell!,4
At the gym. Pup is okay but needs eye drops and week off daycare for leg. ,"Im Fitnessstudio. Der Welpe ist okay, braucht aber Augentropfen und eine Woche Pause vom Kindergarten wegen seines Beins.",0
I had forgotten just how lovely Loratabs are when in pain. Maybe sleep will be in my cards tonight. ,"Ich hatte vergessen, wie schön Loratabs sind, wenn man Schmerzen hat. Vielleicht steht heute Nacht Schlaf auf dem Programm.",4
Watching naruto and josh stole my fruit snacks ,Schauen Naruto und Josh hat meine Fruchtsnacks gestohlen.,0
"bearly got home   ugh need to wash clothes,shower,sleep and wake up early for summer school :@","Bin gerade nach Hause gekommen. Ugh, muss Wäsche waschen, duschen, schlafen und früh aufstehen für die Sommerschule :@",0
@mitchelmusso I can't buy the album. I'm sad.  Reason: Australia. Need I say more? Congrats tho and all the best of luck!! &lt;3,@mitchelmusso Ich kann das Album nicht kaufen. Ich bin traurig. Grund: Australien. Muss ich mehr sagen? Glückwünsche trotzdem und alles Gute!! <3,0
@wzzmypantz 12 hours + on doing 3 of my assessments which is due tomorrow ,"@wzzmypantz 12 Stunden + für 3 meiner Bewertungen, die morgen fällig sind",0
"&amp;&amp; i'LL confess that i can be a LiL seLfish,, smiLe ","&& ich muss gestehen, dass ich ein bisschen egoistisch sein kann, lächle",4
"just used my new DevaCurl diffuser! LOVE IT 5 stars! not liking my new hair cut though, a little too short ","Habe gerade meinen neuen DevaCurl Diffusor benutzt! LIEBE ES, 5 Sterne! Mag meinen neuen Haarschnitt aber nicht so sehr, etwas zu kurz",0
@hazemtaji Did you buy a PS3? My xbox360 got the RROD ,@hazemtaji Hast du dir eine PS3 gekauft? Meine Xbox360 hat den RROD bekommen,0
@jraimond  That sucks ,@jraimond Das ist ärgerlich,0
Coach B I just saw ur msg you were n okc!!!  4059239095!!! Call me sometime,"Trainer B, ich habe gerade deine Nachricht gesehen, du warst in OKC!!! 4059239095!!! Ruf mich irgendwann an",0
@LisaHopeCyrus well i will have to goo soon ,@LisaHopeCyrus Nun muss ich bald gehen,0
@Jo6789 Indeed I do.  http://bit.ly/Iw9j9. Then again we are ESRI NZ  Estimating customers in NZ should recieve it sometime in June.,"@Jo6789 Tatsächlich tue ich das. http://bit.ly/Iw9j9. Aber wir sind ESRI NZ, schätzungsweise werden die Kunden in NZ es irgendwann im Juni erhalten.",4
@jazzmouth Heh...never..I'll never go red commie...Mwuahahahaha!!! ROFL! ,@jazzmouth Heh...niemals...ich werde nie rot-kommunistisch werden...Mwuahahahaha!!! ROFL!,4
My kitty's so snuggly and Designed to Sell is on. What else do I need? Hmm... maybe some food ,"Meine Katze ist so kuschelig und ""Designed to Sell"" läuft. Was brauche ich noch? Hmm... vielleicht etwas zu essen",4
@Joejonaslooover yeah  both were really hard i thought..,"@Joejonaslooover Ja, beide waren wirklich schwer, dachte ich..",0
WTF is going on with the Chiefs? Getting smashed at the 1/2 way point of the S14 final ,Was zum Teufel ist mit den Chiefs los? Werden zur Halbzeit des S14-Finales zerstört,0
@xohsnap OMG YOU'RE FINALLY FRIENDS WITH THE EMO FAG!!! ,"@xohsnap OMG, DU BIST ENDLICH FREUNDE MIT DEM EMO-FAG!!!",4
@bibzee Damn its gonna take a long TIME!.. ,"@bibzee Verdammt, das wird lange dauern!",0
"@marenhogan nice.  didn't sing to mine.  Can't, but looking for lessons to change that.  ","@marenhogan schön. Habe nicht zu meinem gesungen. Kann nicht, aber auf der Suche nach Unterricht, um das zu ändern.",4
my sister woke me up at like 7  im tireddd. i hope today is fun...,"Meine Schwester hat mich so gegen 7 Uhr geweckt, ich bin müüüde. Ich hoffe, heute wird Spaß machen...",0
@taraschwarze Not sure my tweets will be up to usual standard for some days while I wake up ,"@taraschwarze Bin mir nicht sicher, ob meine Tweets in den nächsten Tagen dem üblichen Standard entsprechen werden, während ich aufwache.",4
No santigold for me tonight. work til 10 and I'm off tomorrow ,Kein Santigold für mich heute Abend. Arbeite bis 10 und habe morgen frei.,4
"Keeping my friend and her children in my thoughts today, as they mourn the loss of their husband/father who suddenly died yesterday. ","Denke heute an meine Freundin und ihre Kinder, da sie den Verlust ihres Ehemanns/Vaters betrauern, der gestern plötzlich verstorben ist.",0
@nokking kino sold out already. Popular also. Borders said they're not sure if they're even able to get copies ,"@nokking Kino bereits ausverkauft. Auch beliebt. Borders sagte, sie sind sich nicht sicher, ob sie überhaupt Kopien bekommen können.",0
"UP = soooooo good. i laughed, i cried. just so cute ","OBEN = soooooo gut. Ich habe gelacht, ich habe geweint. Einfach so süß.",4
"is SO close, but SOOOO fat away ","ist SO nah dran, aber SOOOO weit weg.",0
@imsoblazedrtnow sorrrry poohh beaaarrr ,"@imsoblazedrtnow Entschuldigung, Puuh Bär.",0
"worse than i suspected, she was so disgusted in me, she wouldn't talk to me, i had to talk to the dentistry-class-taking receptionist, ","Schlimmer als ich vermutet hatte, sie war so angewidert von mir, dass sie nicht mit mir sprechen wollte, ich musste mit der Empfangsdame sprechen, die Zahnmedizin studiert.",0
@KendallMK That makes me sad that people would be mean to their puppy cause it was acting like a puppy ,"@KendallMK Es macht mich traurig, dass Leute gemein zu ihrem Welpen sind, weil er sich wie ein Welpe benimmt.",0
Thank you @tenketanken @lifeinthegalaxy @empowereddanfit for the love and for the retweets!  â¼ â¥ â« âª,Danke @tenketanken @lifeinthegalaxy @empowereddanfit für die Liebe und die Retweets! ☺️ ❤️ ♫ ♪,4
Hmm spent hours with emma yesterday and a couple with Sarah today so why do I feel like I haven't seen them in ages ,"Hmm, habe gestern Stunden mit Emma verbracht und heute ein paar mit Sarah, warum fühlt es sich an, als hätte ich sie seit Ewigkeiten nicht gesehen?",0
@pwbbounce uh oh  but is that not good? its not got a hidden meaning or anything that i dont know about has it?,"@pwbbounce oh oh, aber ist das nicht gut? Hat es keine versteckte Bedeutung oder etwas, von dem ich nichts weiß?",0
"bum notes: guess what, I'm now watching MMK. Those TV shows in the buses must have some effect on my tolerance for local TV channels.  ","schlechte Noten: Rate mal, ich schaue jetzt MMK. Diese Fernsehsendungen in den Bussen müssen sich irgendwie auf meine Toleranz gegenüber lokalen Fernsehsendern auswirken.",4
@mmkrill Brings back memories ,@mmkrill Weckt Erinnerungen.,4
I know that I have issues but you're pretty fucked up too....so don't judge me ,"Ich weiß, dass ich Probleme habe, aber du bist auch ziemlich durcheinander... also beurteile mich nicht.",4
im putting skins on my ipod ,Ich lege Skins auf meinen iPod.,4
i'm yours - jason mraz....looking for an electric guitar  yay!!!1,"Ich bin deins - Jason Mraz... auf der Suche nach einer E-Gitarre, jippie!!!1",4
@ShimTheDream i know i'm overdoing the anchorman thing but goddamn i just had to get that one in there. it was too perfect ,"@ShimTheDream Ich weiß, ich übertreibe mit dem Anchorman-Ding, aber verdammt, ich musste das einfach einbringen. Es war zu perfekt.",4
@binged love the Twitter handle.   Is  this intended to provide support for all Bing addicts.  I feel like binging on #Bing. ,"@binged Liebe den Twitter-Handle. Ist das dazu gedacht, Unterstützung für alle Bing-Süchtigen zu bieten? Ich habe Lust, auf #Bing zu binge.",4
@mcflymusic say happy birthday nanda to @nanda_marinho please ,@mcflymusic Sag bitte Nanda alles Gute zum Geburtstag von @nanda_marinho.,0
2 words. PARANOID~JONAS ,2 Worte. PARANOID~JONAS,4
My exams just started  Boring.,Meine Prüfungen haben gerade begonnen. Langweilig.,0
Le sigh @ riggens that make easy shit hard ,"Le sigh @ riggens, die einfache Dinge schwierig machen.",0
"@dinnerlove so am i, and i dont know how to stop it... its been the WORST food too ","@dinnerlove Ich auch, und ich weiß nicht, wie ich damit aufhören soll... es war auch das SCHLECHTESTE Essen.",0
Waiting for Game 2 To Start! GO LAKERS ,Warte auf den Start von Spiel 2! GO LAKERS,4
@just_J_ i love bobby longs music ! Although i can't find it anywhere to download it ,@just_J_ Ich liebe die Musik von Bobby Long! Obwohl ich sie nirgendwo zum Download finde.,0
"@rebekahhah We'll be filming / tweeting / blogging, so you'll be able to see all the doggy guests. ","@rebekahhah Wir werden filmen / twittern / bloggen, sodass du alle Hunde-Gäste sehen kannst.",4
Rahman's performing 2row in Pune. But I will not be able to make it ,Rahman tritt morgen in Pune auf. Aber ich werde es nicht schaffen.,0
@PeterJWestwick oooo wanna share with me?! ,"@PeterJWestwick Oooo, willst du es mit mir teilen?!",4
...And they cannot.  I wish i was in Las Vegas with my sister. I miss her.,"...Und sie können es nicht. Ich wünschte, ich wäre in Las Vegas bei meiner Schwester. Ich vermisse sie.",0
@staureby More like Mr. FluMan right now i think. ,"@staureby Eher wie Mr. FluMan im Moment, denke ich.",4
@denkc for reals? ,@denkc Ernsthaft?,0
"Here is a new art piece I'm wrking on for fun... http://bit.ly/gMhuG  , let me know what u think ","Hier ist ein neues Kunstwerk, an dem ich aus Spaß arbeite... http://bit.ly/gMhuG, lass mich wissen, was du denkst.",4
listening some music ,Musik hören,4
@eedawson It's not gonna storm!  because I said so! ,@eedawson Es wird nicht stürmen! Weil ich es gesagt habe!,0
got back from hastings/bexhill last night - brill wknd got a little bit burnt - ooops ,"Bin gestern von Hastings/Bexhill zurückgekommen - tolles Wochenende, habe ein bisschen Sonnenbrand bekommen - ups",4
"@peterfacinelli I just got a screencap of your followers at 496,000 or so... OMG you're either so close or Twitter is messed up again ","@peterfacinelli Ich habe gerade einen Screenshot von deinen Followern bei 496.000 oder so bekommen... OMG, du bist entweder so nah dran oder Twitter ist wieder durcheinander.",0
ugh I am literally the king of passing out early...left my laundry in the dryer in the basement for HOURS and missed a party in 2E ,"Ugh, ich bin buchstäblich der König des frühzeitigen Einschlafens... habe meine Wäsche stundenlang im Trockner im Keller gelassen und eine Party in 2E verpasst.",0
@iCrunchy I WISH I could do ap hwk ,"@iCrunchy ICH WÜNSCHTE, ich könnte Hausaufgaben machen.",0
@JackAllTimeLow I think I'd enjoy it more if it wasn't so smoky  but we'll probably go!,"@JackAllTimeLow Ich glaube, ich würde es mehr genießen, wenn es nicht so verraucht wäre, aber wir werden wahrscheinlich hingehen!",0
ahhh noooo.....now everyone will know I'm gullible ,"Ahhh nein.....jetzt wird jeder wissen, dass ich leichtgläubig bin.",0
@fallenstar_ Yeah it is! Why haven't they put the grey one up? ,"@fallenstar_ Ja, das ist es! Warum haben sie nicht den grauen hochgeladen?",0
"@crazydiamondsi Eh up you  We are talking SAAB 9-5 se, estate too. Had to get a 2.0t as insurance wouldn't touch Poppet on a 2.3t ","@crazydiamondsi Eh hallo! Wir reden über SAAB 9-5 se, Kombi auch. Mussten einen 2.0t nehmen, da die Versicherung Poppet auf einem 2.3t nicht versichern wollte.",0
"@gingy23  I know, this week will be amazing. they're like 15 mins away from me omg omg","@gingy23 Ich weiß, diese Woche wird erstaunlich sein. Sie sind ungefähr 15 Minuten von mir entfernt, oh mein Gott.",4
i hate mornings. Even friday mornings. Wish i wasn't so tired.... ,"Ich hasse den Morgen. Selbst Freitagmorgen. Wünschte, ich wäre nicht so müde....",0
@Adri214 Hey...  I know you!!  ,@Adri214 Hey... Ich kenne dich!!,4
@spytel we got thrown under the bus by friends were left behind to sit together. We agreed we in out on purpose sometime this week ,"@spytel Wir wurden von Freunden ins Stich gelassen, um zusammen zu sitzen. Wir haben zugestimmt, dass wir uns absichtlich irgendwann diese Woche ausklinken.",4
@mtvawards can other countries view the live feed as well? Thanks for your time. ,@mtvawards Können auch andere Länder den Livestream sehen? Danke für Ihre Zeit.,4
@tommcfly http://twitpic.com/53nhq  &lt;3 When you guys doing a signing in scotland again?  there sooo fun &lt;3 XXXXXXX,@tommcfly http://twitpic.com/53nhq <3 Wann macht ihr wieder eine Autogrammstunde in Schottland? Die sind sooo lustig <3 XXXXXXX,4
@travismcglasson Some really awesome girls... ,@travismcglasson Einige wirklich tolle Mädels...,4
feck i heard. ,"Verdammt, das habe ich gehört.",0
